age,gender,device_type,ad_position,browsing_history,time_of_day,click
missing,Female,Desktop,Side,missing,Night,0
51.0,Male,Mobile,missing,Social Media,Morning,1
31.0,Female,Desktop,missing,Education,missing,0
43.0,Male,missing,Bottom,Education,Afternoon,1
missing,Male,Desktop,Side,Shopping,Evening,1
61.0,Non-Binary,Tablet,Bottom,missing,Morning,0
48.0,Non-Binary,Desktop,Top,missing,Night,1
missing,Female,Tablet,Side,missing,Morning,0
missing,missing,Tablet,missing,missing,Night,1
missing,Female,Mobile,Side,News,Night,1
41.0,missing,Mobile,missing,missing,Night,1
32.0,missing,Desktop,Side,missing,missing,0
64.0,Female,Mobile,Side,Education,Morning,0
25.0,missing,Mobile,Bottom,Education,missing,1
missing,missing,missing,Side,Entertainment,missing,1
missing,missing,missing,Side,missing,Afternoon,1
23.0,missing,Tablet,missing,Entertainment,missing,1
26.0,Non-Binary,Desktop,Side,missing,Evening,1
missing,Non-Binary,Tablet,Bottom,Education,missing,1
missing,Non-Binary,Desktop,Top,missing,Afternoon,1
missing,Male,Desktop,Bottom,Entertainment,missing,1
missing,missing,Desktop,Top,News,Morning,0
missing,missing,Mobile,Side,Entertainment,Afternoon,1
39.0,missing,Mobile,missing,missing,Night,1
26.0,missing,Mobile,missing,missing,missing,1
55.0,Female,Tablet,Side,Shopping,Night,0
21.0,missing,Desktop,Top,missing,Evening,0
missing,Male,Mobile,Top,Social Media,Night,1
missing,missing,missing,missing,Social Media,Evening,0
26.0,missing,Desktop,Side,missing,missing,0
39.0,Non-Binary,Mobile,Side,Social Media,Afternoon,0
missing,missing,Desktop,Top,missing,Afternoon,1
24.0,missing,Desktop,Top,missing,missing,0
54.0,Female,missing,Side,missing,Afternoon,0
42.0,missing,missing,Bottom,missing,missing,0
missing,missing,Desktop,Top,missing,Afternoon,1
19.0,Non-Binary,Tablet,Side,Shopping,Evening,0
58.0,missing,Desktop,Side,Social Media,Afternoon,0
missing,missing,Tablet,missing,Shopping,Morning,0
57.0,Non-Binary,Desktop,Bottom,Entertainment,missing,1
missing,Male,missing,Top,missing,missing,1
31.0,missing,missing,missing,Entertainment,Night,1
20.0,missing,Desktop,missing,missing,missing,1
61.0,Female,missing,missing,missing,missing,1
43.0,Female,Tablet,Bottom,Social Media,Night,0
missing,Female,Mobile,Top,missing,Morning,1
35.0,missing,Tablet,Top,News,Evening,0
missing,Male,missing,Top,missing,Morning,0
42.0,Male,Desktop,Top,Shopping,Night,0
missing,missing,missing,Side,missing,Evening,1
missing,missing,missing,missing,missing,Evening,0
53.0,Male,Mobile,Top,missing,missing,1
20.0,Female,Tablet,missing,Social Media,Night,0
19.0,Non-Binary,Desktop,missing,missing,missing,1
missing,Non-Binary,Desktop,Bottom,Shopping,Night,0
missing,Non-Binary,Tablet,Top,Shopping,missing,0
missing,missing,Mobile,Bottom,missing,Afternoon,1
missing,missing,Tablet,Top,missing,Night,1
52.0,missing,Mobile,Bottom,Education,Morning,1
36.0,Male,Mobile,missing,missing,Afternoon,0
34.0,Male,Desktop,Bottom,Entertainment,Evening,1
42.0,missing,Desktop,Top,Shopping,Night,1
34.0,Non-Binary,Desktop,Side,missing,Evening,0
38.0,missing,Tablet,Side,Social Media,Afternoon,1
missing,Non-Binary,Mobile,Side,Education,Night,1
42.0,missing,missing,Bottom,Shopping,missing,1
27.0,Male,Desktop,missing,Education,Evening,0
57.0,missing,Tablet,Bottom,News,Morning,0
missing,Male,Desktop,Bottom,missing,missing,1
39.0,missing,missing,Bottom,missing,missing,0
missing,missing,Mobile,Bottom,Entertainment,missing,1
missing,missing,missing,missing,Shopping,Afternoon,0
missing,missing,missing,Bottom,missing,Morning,0
missing,missing,Mobile,missing,Social Media,missing,0
missing,Non-Binary,missing,Top,missing,Night,0
35.0,Female,Mobile,Bottom,Social Media,Night,0
missing,Non-Binary,Desktop,Side,missing,Afternoon,1
53.0,missing,Desktop,Side,Education,Evening,0
missing,missing,Desktop,Side,missing,Morning,0
missing,missing,missing,Bottom,Entertainment,Afternoon,1
40.0,missing,Mobile,Side,News,Evening,1
53.0,Non-Binary,Tablet,missing,missing,Night,1
23.0,missing,missing,Bottom,Entertainment,Morning,1
43.0,Non-Binary,Mobile,missing,Shopping,Afternoon,1
missing,Male,Tablet,Bottom,missing,Night,1
missing,missing,Mobile,Side,Education,Morning,1
54.0,Female,missing,Top,missing,missing,1
missing,missing,missing,Top,Social Media,Evening,0
35.0,missing,Mobile,Top,missing,Evening,1
28.0,Male,Mobile,missing,Shopping,Afternoon,1
missing,missing,Desktop,Side,missing,Night,1
missing,Female,Desktop,missing,missing,Afternoon,1
missing,Male,Tablet,Side,News,missing,0
46.0,Female,Tablet,Side,missing,missing,1
52.0,Female,Mobile,Top,Social Media,Afternoon,1
20.0,Male,missing,Side,News,missing,1
26.0,missing,Mobile,Side,missing,Afternoon,1
28.0,Male,missing,Side,missing,Evening,0
missing,Male,Desktop,Top,missing,Night,0
missing,missing,Tablet,missing,missing,Night,1
47.0,Non-Binary,Tablet,Bottom,Entertainment,Afternoon,0
missing,Female,Desktop,Top,Entertainment,Morning,1
missing,Non-Binary,Mobile,Side,Education,Night,1
missing,missing,Desktop,Top,Shopping,Night,1
missing,Female,missing,missing,Shopping,Morning,0
missing,Non-Binary,Desktop,Top,News,Afternoon,0
missing,Non-Binary,Tablet,missing,missing,Afternoon,0
missing,Non-Binary,Desktop,Bottom,Education,Afternoon,0
missing,Non-Binary,Tablet,Bottom,Education,Morning,1
missing,Female,Mobile,Side,Shopping,Afternoon,0
44.0,Female,Mobile,Top,missing,Afternoon,1
34.0,missing,Desktop,Top,Entertainment,missing,0
missing,Male,Desktop,Side,Social Media,Evening,1
53.0,missing,Desktop,Side,missing,Morning,1
54.0,Male,Tablet,Side,missing,Evening,1
25.0,Male,Desktop,Side,missing,Night,1
missing,Male,Desktop,Top,missing,Morning,1
missing,Non-Binary,Mobile,Bottom,Social Media,Morning,1
missing,missing,Tablet,missing,missing,Evening,1
42.0,missing,Mobile,Side,Shopping,Morning,1
36.0,missing,Tablet,Bottom,missing,Evening,1
33.0,Non-Binary,Mobile,Top,News,Morning,0
38.0,Non-Binary,Tablet,Bottom,Entertainment,Morning,1
33.0,Male,Mobile,Side,missing,Afternoon,0
missing,missing,Desktop,missing,missing,Evening,0
missing,Male,Desktop,Top,News,Afternoon,0
26.0,Male,Mobile,Bottom,missing,Evening,1
34.0,Non-Binary,missing,missing,Shopping,Afternoon,1
missing,missing,missing,missing,News,missing,0
35.0,Female,Desktop,Side,Social Media,missing,0
35.0,Non-Binary,Mobile,missing,missing,Evening,0
41.0,Female,Tablet,missing,Entertainment,Night,0
missing,missing,Tablet,Top,missing,Afternoon,0
47.0,missing,Desktop,Side,Entertainment,Evening,0
20.0,Male,Mobile,Side,Shopping,Night,1
27.0,missing,Desktop,Top,Shopping,Night,0
45.0,Non-Binary,Desktop,Top,Social Media,Night,0
36.0,missing,Desktop,missing,missing,Morning,0
40.0,missing,Mobile,Side,News,Evening,1
missing,missing,Desktop,Top,missing,Night,1
26.0,Female,Desktop,Top,missing,Night,1
missing,missing,Desktop,Top,missing,Morning,0
40.0,missing,Mobile,Side,News,Evening,1
missing,Female,Mobile,Side,Entertainment,Evening,1
missing,Female,Desktop,Top,missing,Evening,1
missing,Non-Binary,missing,Bottom,missing,Evening,1
27.0,missing,Tablet,Side,News,Afternoon,1
45.0,Female,Mobile,Top,missing,Evening,0
missing,missing,Mobile,Side,News,missing,0
20.0,Female,Mobile,Bottom,missing,missing,1
missing,missing,Desktop,missing,missing,Afternoon,1
missing,Male,Desktop,missing,missing,Night,1
missing,missing,Desktop,Bottom,Education,Morning,1
missing,Female,Tablet,Top,Entertainment,Afternoon,1
missing,missing,Desktop,Bottom,Education,Afternoon,0
missing,missing,Desktop,missing,missing,Night,1
36.0,missing,Desktop,Top,missing,Night,0
38.0,missing,Mobile,missing,Education,Afternoon,1
missing,Non-Binary,Mobile,Bottom,missing,Afternoon,0
52.0,Male,Mobile,Bottom,missing,Evening,1
missing,Non-Binary,Mobile,Side,Entertainment,Morning,0
missing,missing,Tablet,missing,News,Afternoon,0
19.0,missing,Tablet,Bottom,Social Media,Morning,1
missing,missing,Desktop,Bottom,Entertainment,Night,1
47.0,missing,Tablet,Bottom,Social Media,Evening,1
53.0,Female,Desktop,Top,Social Media,Night,0
missing,Non-Binary,Mobile,Bottom,missing,Night,1
missing,missing,missing,Bottom,Shopping,Night,1
missing,Female,Desktop,Side,missing,Evening,0
missing,Male,Desktop,Side,Entertainment,Afternoon,1
29.0,missing,Desktop,Top,Shopping,Night,0
63.0,Non-Binary,Mobile,Side,missing,Night,0
missing,Female,Mobile,Bottom,missing,Morning,1
missing,missing,Mobile,Side,missing,Morning,0
20.0,Female,Mobile,Top,Social Media,Afternoon,1
missing,missing,Tablet,missing,Education,Morning,0
missing,Female,missing,missing,Social Media,Morning,1
missing,missing,Desktop,Side,Social Media,Evening,0
36.0,missing,Tablet,Side,Education,Evening,1
26.0,Female,Mobile,Bottom,News,Evening,1
55.0,missing,missing,Top,missing,Night,1
62.0,Non-Binary,Mobile,missing,Education,missing,0
56.0,Female,Mobile,Bottom,Education,Morning,1
missing,missing,missing,Top,missing,Morning,1
26.0,Female,Mobile,missing,missing,Evening,1
62.0,Female,Desktop,Bottom,Entertainment,Morning,1
missing,Female,Desktop,missing,missing,missing,1
missing,missing,Mobile,Side,Education,missing,1
28.0,Non-Binary,Mobile,Bottom,Social Media,Evening,1
missing,Non-Binary,Tablet,Side,missing,missing,1
missing,missing,missing,Side,missing,Morning,1
missing,Non-Binary,Desktop,missing,Education,Morning,0
missing,missing,Desktop,Side,missing,Morning,1
19.0,missing,Mobile,Top,News,Night,0
missing,missing,Desktop,Bottom,News,Afternoon,0
46.0,missing,missing,missing,Education,missing,1
28.0,Male,Mobile,Side,missing,Afternoon,1
missing,missing,missing,Top,Entertainment,Morning,1
missing,missing,Tablet,Top,missing,Evening,1
missing,missing,Tablet,missing,missing,Morning,1
21.0,Female,Mobile,Side,missing,Night,1
62.0,Non-Binary,Desktop,missing,missing,Morning,1
missing,Non-Binary,Mobile,Bottom,News,missing,1
21.0,Female,missing,Side,Education,Evening,0
missing,Male,Desktop,Bottom,missing,missing,0
missing,Non-Binary,Mobile,Bottom,Entertainment,missing,1
61.0,missing,Desktop,Bottom,missing,missing,1
50.0,Non-Binary,Desktop,Side,Education,Night,0
missing,Male,Mobile,Top,missing,Afternoon,1
49.0,missing,Tablet,Side,missing,Afternoon,0
missing,missing,Mobile,missing,Social Media,Morning,1
43.0,missing,Mobile,Side,Entertainment,missing,0
43.0,missing,Mobile,Bottom,Education,Evening,1
39.0,missing,Desktop,Top,missing,Evening,1
56.0,Female,Mobile,Bottom,News,Night,1
missing,Male,Tablet,Bottom,missing,Night,0
18.0,missing,missing,missing,missing,Afternoon,0
40.0,Non-Binary,Mobile,Side,missing,missing,1
55.0,Non-Binary,Desktop,Side,missing,Evening,1
missing,missing,Tablet,Side,Shopping,missing,0
missing,missing,Mobile,Top,missing,missing,1
36.0,missing,Tablet,Bottom,Social Media,Evening,0
missing,missing,Tablet,Side,Entertainment,Evening,0
missing,Male,Mobile,missing,missing,missing,1
missing,missing,Desktop,Top,Social Media,Morning,0
missing,Female,missing,Side,Education,Evening,0
36.0,Female,Mobile,missing,missing,missing,1
missing,missing,missing,Side,Shopping,Night,1
missing,Non-Binary,Mobile,Bottom,Social Media,missing,1
missing,missing,Desktop,Side,missing,Night,1
55.0,missing,missing,Top,missing,Morning,0
missing,Female,missing,Side,missing,Evening,0
19.0,Female,Tablet,Side,missing,Afternoon,1
58.0,missing,Desktop,Top,Education,Afternoon,1
missing,Non-Binary,missing,Side,missing,missing,1
19.0,missing,Desktop,Bottom,missing,Night,0
missing,Non-Binary,missing,Side,News,Morning,1
missing,missing,Mobile,Bottom,missing,Morning,0
58.0,Male,missing,Bottom,Social Media,Evening,1
missing,missing,missing,Side,missing,Morning,1
54.0,missing,Tablet,Bottom,News,Evening,0
missing,missing,Desktop,Bottom,Shopping,Morning,1
missing,Male,missing,Side,missing,Night,1
22.0,Male,missing,missing,Entertainment,missing,1
missing,missing,Tablet,Side,Shopping,Afternoon,0
22.0,missing,Desktop,missing,Shopping,Afternoon,1
missing,missing,Tablet,Top,Education,Morning,0
22.0,missing,Tablet,Bottom,missing,Night,0
missing,Male,Tablet,Side,missing,Afternoon,1
missing,Male,Tablet,Top,missing,missing,1
19.0,Male,Desktop,Bottom,missing,Afternoon,1
36.0,Male,Tablet,Top,Shopping,Night,0
missing,missing,Tablet,missing,missing,Night,1
missing,missing,Mobile,Top,missing,Afternoon,1
40.0,Non-Binary,Mobile,Side,Entertainment,Night,1
35.0,Non-Binary,Tablet,Bottom,Education,Night,1
58.0,Male,missing,Bottom,missing,Evening,1
32.0,Male,Desktop,Side,News,Afternoon,0
25.0,Male,Tablet,Top,Social Media,Evening,0
missing,missing,Tablet,Side,missing,Morning,0
missing,Male,missing,Side,missing,missing,1
missing,Female,Tablet,Top,Education,Evening,1
missing,missing,Mobile,Side,Entertainment,Afternoon,1
missing,Male,Mobile,missing,News,missing,0
missing,Male,missing,Bottom,Shopping,missing,1
28.0,Male,Mobile,missing,missing,Morning,1
missing,missing,Tablet,Side,missing,missing,1
missing,missing,Desktop,Side,News,Night,1
42.0,missing,Tablet,Top,missing,Night,0
missing,missing,Desktop,Bottom,News,Night,1
46.0,missing,Mobile,Side,Social Media,Morning,1
40.0,Male,Desktop,Top,Entertainment,missing,1
41.0,Male,missing,Top,missing,Morning,0
19.0,Male,missing,Side,missing,missing,1
missing,Female,missing,Top,Entertainment,Afternoon,0
46.0,Female,missing,missing,Entertainment,Morning,1
50.0,Female,Desktop,missing,Education,Afternoon,1
missing,Non-Binary,Mobile,Top,missing,missing,1
missing,Non-Binary,Tablet,missing,News,missing,1
59.0,Male,Desktop,Top,Entertainment,missing,0
53.0,Non-Binary,missing,missing,Shopping,Night,1
missing,missing,missing,Top,missing,Morning,0
36.0,Female,Mobile,missing,missing,Night,1
52.0,missing,Desktop,Top,missing,Afternoon,0
52.0,Non-Binary,Tablet,Side,missing,Evening,1
missing,Male,Desktop,Top,missing,Evening,0
missing,missing,Tablet,missing,Shopping,Morning,0
61.0,Male,Desktop,Top,Education,Night,0
30.0,Male,Tablet,Top,missing,Evening,1
28.0,Non-Binary,Mobile,Bottom,missing,missing,1
63.0,missing,Tablet,missing,Shopping,missing,1
missing,Male,Mobile,Bottom,missing,Evening,0
43.0,Male,Desktop,Top,missing,Evening,0
29.0,missing,Tablet,Side,missing,Morning,0
missing,missing,Desktop,Top,missing,Afternoon,1
49.0,missing,Tablet,Side,missing,Night,1
42.0,Male,Desktop,Side,missing,missing,0
missing,Female,Mobile,Side,missing,Evening,1
missing,missing,Desktop,Top,missing,Night,1
32.0,Male,Mobile,Top,missing,missing,0
missing,missing,Desktop,Top,missing,Night,1
20.0,missing,Tablet,Side,Entertainment,missing,1
25.0,missing,Mobile,missing,missing,Afternoon,0
missing,missing,Desktop,Side,Social Media,Morning,0
58.0,Male,Tablet,Bottom,missing,missing,1
44.0,Non-Binary,Tablet,Side,missing,Evening,1
32.0,missing,Tablet,Side,missing,Morning,1
47.0,missing,Mobile,Bottom,Shopping,Afternoon,1
missing,missing,Tablet,Top,missing,missing,0
missing,missing,missing,missing,Social Media,Morning,1
53.0,Non-Binary,Mobile,Side,News,Morning,1
missing,missing,Mobile,Top,missing,Night,0
missing,missing,Desktop,Side,missing,Evening,1
51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
34.0,Female,Mobile,missing,Education,Evening,1
25.0,missing,Mobile,Bottom,missing,missing,1
20.0,Male,Mobile,Side,missing,Night,1
missing,missing,Tablet,Side,Shopping,Afternoon,1
51.0,Male,Mobile,Top,Social Media,Morning,1
missing,missing,Tablet,Side,Education,Evening,1
38.0,missing,Mobile,missing,Education,Afternoon,1
45.0,missing,Tablet,Top,missing,Evening,0
missing,Non-Binary,missing,missing,Education,Morning,1
20.0,missing,missing,Bottom,Entertainment,Morning,1
missing,missing,Mobile,Bottom,News,Evening,0
missing,missing,Tablet,missing,missing,Morning,1
29.0,Male,Mobile,Top,News,Evening,0
51.0,Non-Binary,Tablet,Top,Shopping,Afternoon,1
missing,missing,Tablet,missing,missing,Evening,0
56.0,missing,Desktop,Top,missing,Afternoon,1
62.0,missing,missing,Bottom,Social Media,Night,1
missing,Non-Binary,missing,Top,missing,Afternoon,1
41.0,Female,Tablet,Top,missing,Evening,0
50.0,Female,Desktop,missing,Education,missing,1
missing,missing,missing,Side,missing,Evening,1
missing,Male,Tablet,Top,missing,Morning,1
41.0,missing,Tablet,Top,Education,Morning,0
missing,Non-Binary,Tablet,Bottom,missing,Evening,1
missing,missing,Tablet,Top,Shopping,missing,0
26.0,missing,Mobile,Side,missing,missing,1
28.0,missing,Mobile,Bottom,missing,Morning,1
missing,missing,Tablet,Top,missing,missing,1
44.0,Male,Tablet,Side,missing,Evening,1
missing,Female,Tablet,Top,News,Night,1
missing,Female,Mobile,Side,News,Night,1
53.0,missing,Desktop,Side,missing,Morning,0
51.0,missing,Desktop,Bottom,missing,Night,0
49.0,missing,Desktop,Side,Education,Evening,0
57.0,Non-Binary,Mobile,Side,Social Media,missing,1
missing,Female,missing,Bottom,missing,Afternoon,1
63.0,Male,Desktop,Side,Social Media,Evening,1
missing,Non-Binary,Mobile,missing,Social Media,Morning,1
37.0,missing,Desktop,missing,missing,Afternoon,1
missing,missing,Desktop,Bottom,Shopping,missing,1
missing,Non-Binary,Desktop,missing,missing,Afternoon,1
missing,missing,Mobile,Top,missing,missing,0
56.0,missing,Tablet,Bottom,Social Media,Afternoon,1
missing,Non-Binary,Mobile,missing,Entertainment,Afternoon,1
53.0,Non-Binary,Mobile,Side,News,Morning,1
21.0,missing,Desktop,Top,Shopping,missing,1
58.0,Non-Binary,Mobile,missing,Entertainment,Evening,1
37.0,missing,Desktop,missing,Social Media,Evening,1
missing,missing,Desktop,Bottom,missing,Morning,1
44.0,Female,Mobile,Top,missing,missing,0
24.0,Male,Mobile,Bottom,Education,Evening,1
missing,Male,Tablet,Side,Entertainment,missing,0
26.0,Female,Mobile,missing,News,Evening,1
missing,missing,missing,Bottom,missing,Night,0
missing,Female,Mobile,Bottom,missing,Night,1
54.0,Male,Desktop,Bottom,missing,Night,1
44.0,Male,missing,Side,missing,Evening,1
missing,Male,Mobile,Bottom,Education,Morning,1
missing,missing,Desktop,Side,Social Media,missing,1
52.0,missing,Tablet,Bottom,missing,Afternoon,1
missing,Female,Desktop,Bottom,missing,Evening,1
52.0,missing,Tablet,Side,Education,missing,0
missing,Non-Binary,Tablet,Top,missing,Night,1
39.0,missing,Desktop,Top,missing,Evening,1
56.0,Female,Mobile,Side,missing,Evening,0
57.0,Female,Desktop,Top,News,Night,0
62.0,Female,Mobile,Side,Entertainment,Afternoon,0
59.0,missing,Tablet,Side,missing,Morning,1
30.0,missing,Desktop,Side,missing,Morning,1
28.0,missing,Tablet,Side,Social Media,missing,1
54.0,Female,missing,Top,Education,Night,1
missing,missing,Desktop,Bottom,Entertainment,Evening,0
missing,Female,missing,Top,missing,Afternoon,0
43.0,Non-Binary,Mobile,Top,missing,Afternoon,1
missing,Female,Desktop,Side,missing,Night,1
missing,Male,Mobile,Bottom,Education,Night,0
44.0,Female,missing,missing,Entertainment,Evening,1
missing,missing,Mobile,Side,Social Media,Afternoon,1
45.0,missing,Mobile,Bottom,missing,Night,1
22.0,Male,Desktop,Bottom,missing,Morning,0
missing,Female,Mobile,Top,Shopping,Afternoon,1
45.0,missing,Desktop,Top,Education,Morning,1
26.0,Male,Desktop,Side,Entertainment,Night,0
missing,missing,Desktop,Side,missing,missing,1
missing,missing,Tablet,missing,Social Media,Evening,1
missing,Female,missing,Side,Entertainment,Evening,1
missing,Female,missing,Top,missing,Night,0
56.0,Female,Mobile,Bottom,missing,Morning,1
missing,missing,Desktop,Bottom,missing,Afternoon,1
missing,missing,missing,Bottom,Social Media,Morning,0
missing,Non-Binary,missing,Side,missing,Afternoon,1
missing,missing,missing,Bottom,missing,Evening,1
36.0,Female,Desktop,Bottom,missing,Afternoon,1
missing,Non-Binary,Mobile,Side,Education,Night,1
59.0,Male,missing,Side,Social Media,Evening,1
58.0,missing,Desktop,Top,missing,Afternoon,1
35.0,missing,Mobile,Top,missing,missing,1
missing,Female,Tablet,Bottom,Shopping,missing,1
49.0,missing,Mobile,missing,missing,Morning,0
40.0,Non-Binary,Mobile,missing,Entertainment,Night,1
22.0,Male,missing,Top,missing,Evening,0
24.0,missing,Mobile,Side,Shopping,Morning,0
missing,missing,missing,Top,missing,Afternoon,1
61.0,Male,Desktop,Side,Social Media,Morning,1
missing,missing,missing,Bottom,missing,Night,0
missing,Non-Binary,Desktop,missing,News,missing,1
missing,missing,Desktop,Side,missing,Morning,0
30.0,missing,missing,Bottom,missing,Afternoon,0
missing,Non-Binary,Tablet,Side,Education,missing,0
missing,missing,missing,Bottom,missing,missing,1
missing,Non-Binary,Desktop,Bottom,missing,Afternoon,1
missing,Female,Mobile,Bottom,missing,Night,1
missing,missing,Mobile,Top,missing,Afternoon,1
27.0,missing,Tablet,Side,News,Afternoon,1
missing,Female,Tablet,Side,Education,Morning,1
missing,Non-Binary,Mobile,Top,missing,Morning,1
56.0,missing,Desktop,Top,Shopping,Afternoon,0
32.0,Non-Binary,Desktop,Top,Entertainment,Night,1
missing,Female,Desktop,Side,missing,Night,1
52.0,missing,Tablet,Bottom,missing,Afternoon,1
missing,Non-Binary,Tablet,Bottom,News,Evening,1
missing,Female,missing,missing,missing,Afternoon,0
49.0,Male,missing,missing,News,Afternoon,1
missing,Male,Desktop,missing,Entertainment,Morning,0
28.0,missing,Desktop,Top,missing,Morning,1
missing,missing,Desktop,Bottom,missing,missing,1
missing,missing,missing,Side,missing,Afternoon,1
34.0,Female,Mobile,Top,missing,Night,0
missing,Female,Desktop,Bottom,missing,Morning,1
46.0,missing,Desktop,Bottom,missing,Evening,1
53.0,Non-Binary,Mobile,Side,News,missing,1
30.0,Non-Binary,Mobile,missing,missing,Morning,1
46.0,missing,missing,Top,Social Media,Evening,1
missing,missing,Desktop,missing,Social Media,missing,0
missing,missing,Desktop,Side,missing,Morning,1
